Time(s)	PatientWeight(g)	HeartRate(1/min)	HeartStrokeVolume(mL)	BloodVolume(mL)	ExtravascularFluidVolume(mL)	ArterialPressure(mmHg)	MeanArterialPressure(mmHg)	SystolicArterialPressure(mmHg)	DiastolicArterialPressure(mmHg)	CardiacOutput(mL/min)	HemoglobinContent(g)	CentralVenousPressure(mmHg)	PulmonaryCapillariesWedgePressure(mmHg)	RespirationRate(1/min)	OxygenSaturation	CarbonDioxideSaturation	TidalVolume(mL)	TotalLungVolume(mL)	EndTidalCarbonDioxideFraction	TotalAlveolarVentilation(L/min)	TranspulmonaryPressure(cmH2O)	RespiratoryQuotient	CoreTemperature(degC)	SkinTemperature(degC)	GlomerularFiltrationRate(mL/day)	RenalBloodFlow(mL/min)	UrineProductionRate(mL/min)	LeftAfferentArterioleResistance(mmHg_min/mL)	RightAfferentArterioleResistance(mmHg_min/mL)	OxygenConsumptionRate(mL/min)	CarbonDioxideProductionRate(mL/min)	Aorta-Vascular-Oxygen-PartialPressure(mmHg)	Aorta-Vascular-CarbonDioxide-PartialPressure(mmHg)	VenaCava-Vascular-Oxygen-PartialPressure(mmHg)	VenaCava-Vascular-CarbonDioxide-PartialPressure(mmHg)	LeftAlveoli-Pulmonary-Pressure(cmH2O)	LeftAlveoli-Pulmonary-Oxygen-PartialPressure(mmHg)	LeftAlveoli-Pulmonary-CarbonDioxide-PartialPressure(mmHg)	RightAlveoli-Pulmonary-Pressure(cmH2O)	RightAlveoli-Pulmonary-Oxygen-PartialPressure(mmHg)	RightAlveoli-Pulmonary-CarbonDioxide-PartialPressure(mmHg)	Trachea-Pulmonary-Oxygen-PartialPressure(cmH2O)	Trachea-Pulmonary-CarbonDioxide-PartialPressure(cmH2O)	RightTubules-Urine-Sodium-Concentration(mg/mL)	RightTubules-Urine-Albumin-Concentration(mg/mL)	LeftTubules-Urine-Sodium-Concentration(mg/mL)	LeftTubules-Urine-Albumin-Concentration(mg/mL)	Oxygen-AlveolarTransfer(mL/s)	CarbonDioxide-AlveolarTransfer(mL/s)	NeuromuscularBlockLevel	SedationLevel	Brain-Tissue-Succinylcholine-ExtravascularConcentration(ug/mL)	Brain-Vascular-Succinylcholine-Concentration(ug/mL)	Fat-Tissue-Succinylcholine-ExtravascularConcentration(ug/mL)	Fat-Vascular-Succinylcholine-Concentration(ug/mL)	LeftKidney-Tissue-Succinylcholine-ExtravascularConcentration(ug/mL)	LeftKidney-Vascular-Succinylcholine-Concentration(ug/mL)	RightKidney-Tissue-Succinylcholine-ExtravascularConcentration(ug/mL)	RightKidney-Vascular-Succinylcholine-Concentration(ug/mL)	Liver-Tissue-Succinylcholine-ExtravascularConcentration(ug/mL)	Liver-Vascular-Succinylcholine-Concentration(ug/mL)	Succinylcholine-MassInBody(ug)	Succinylcholine-PlasmaConcentration(ug/mL)	Succinylcholine-RemainingSystemicMassCleared(ug)	Succinylcholine-Kidneys-PartitionCoefficient	Succinylcholine-Brain-PartitionCoefficient	Succinylcholine-RightLung-PartitionCoefficient	Succinylcholine-LeftLung-PartitionCoefficient	Succinylcholine-Liver-PartitionCoefficient	Succinylcholine-Bone-PartitionCoefficient	Succinylcholine-Fat-PartitionCoefficient	Succinylcholine-Skin-PartitionCoefficient	Succinylcholine-Muscle-PartitionCoefficient	Succinylcholine-Spleen-PartitionCoefficient	Succinylcholine-Gut-PartitionCoefficient	Succinylcholine-Myocardium-PartitionCoefficient	Succinylcholine-Liver-MassCleared(ug)	Succinylcholine-Liver-MassExcreted(ug)	Succinylcholine-Kidneys-MassCleared(ug)	Succinylcholine-Kidneys-MassExcreted(ug)	
0	78467.8	72.973	77.3516	5090.28	34138	79.2856	87.4784	106.281	63.5213	5644.58	738.158	5.42805	6.30603	15.9763	0.968221	0.274545	534.977	2407.76	0.0349156	6.20183	11.5024	0.835988	37.0316	33.0152	172009	811.804	1.05951	0.0400333	0.0400333	226.582	189.42	89.9091	40.4817	42.3728	42.7941	1033.34	115.963	40.8508	1033.34	109.63	41.2569	176.486	36.0641	2.59191	0	2.59191	0	4.05194	-3.54997	0	0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
1.01111	78467.8	72	77.5479	5090.28	34138	69.4211	87.1917	106.347	63.5752	5583.45	738.158	5.36513	6.30819	16.1194	0.968408	0.274708	543.257	2381.44	0.0350967	6.35308	11.2918	0.834899	37.0318	33.0152	135275	649.299	0.856395	0.0400333	0.0400333	225.363	188.155	89.2332	40.5722	42.3131	42.8112	1032.6	114.842	41.4219	1032.6	108.471	41.7566	187.123	26.5608	2.5912	0	2.5912	0	-0.566281	-1.96753	0	0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
2.02222	78467.8	72.973	77.6807	5090.3	34138	90.6208	87.8239	106.805	64.0917	5668.59	738.158	5.38447	6.31204	16.1194	0.968577	0.280763	543.257	2874.97	0.0350967	6.35308	16.1104	0.846828	37.0319	33.0153	114784	1412.81	0.673068	0.0400333	0.0400333	239.551	202.858	91.4823	42.6767	42.3696	42.8808	1032.91	117.793	39.4573	1032.91	111.553	40.0451	216.923	0.413674	2.5909	0	2.5909	0	7.35442	-7.62176	0	0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
3.03333	78467.8	72.973	77.4906	5090.3	34138	105.969	87.8167	106.808	64.0847	5654.72	738.158	5.44915	6.30401	16.1194	0.96808	0.27465	543.257	2513.14	0.0350967	6.35308	12.5184	0.84158	37.0321	33.0154	190621	1867.13	0.984882	0.0400333	0.0400333	233.101	196.173	90.2326	40.5082	42.3642	42.8814	1033.61	116.768	40.4989	1033.61	110.469	40.9962	182.035	31.2791	2.59089	0	2.59089	0	6.67469	-3.14075	0	0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
4.04444	78467.8	72.973	77.3977	5090.26	34138	90.3974	87.7656	106.719	64.0687	5647.94	738.158	5.49264	6.30046	16.1194	0.968142	0.273931	543.257	2388.91	0.0350967	6.35308	11.3207	0.837174	37.0322	33.0154	199773	1129.31	1.14404	0.0400333	0.0400333	227.951	190.835	90.0086	40.3031	42.388	42.8096	1033.29	115.548	41.2228	1033.29	109.189	41.6085	175.687	36.7165	2.59088	0	2.59088	0	0.709174	-0.286197	0	0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
5.05556	78467.8	72.973	77.3459	5090.23	34138	76.4481	87.7268	106.646	64.0583	5644.16	738.158	5.41135	6.29708	15.9763	0.968267	0.274467	534.165	2576.7	0.0349088	6.19235	13.2301	0.835624	37.0324	33.0155	162496	752.983	1.0099	0.0400333	0.0400333	226.197	189.016	89.7682	40.4883	42.3078	42.8031	1032.22	115.549	40.5983	1032.22	109.21	41.0188	216.47	0.70771	2.58999	0	2.58999	0	1.50187	-7.43907	0	0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
6.06667	78467.8	72.973	77.2877	5090.23	34138	66.8518	87.6895	106.58	64.0461	5639.92	738.158	5.35507	6.29322	15.9763	0.968234	0.275206	534.165	2868.09	0.0349088	6.19235	15.9667	0.834564	37.0326	33.0156	124254	620.79	0.795064	0.0400333	0.0400333	225.014	187.788	89.6822	40.6847	42.3231	42.8197	1034.11	117.93	39.646	1034.11	111.659	40.2188	207.336	9.13622	2.58935	0	2.58935	0	0.0892799	-2.21317	0	0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
7.07778	78467.8	72	77.2609	5090.26	34138	98.9284	87.112	106.209	63.494	5562.78	738.158	5.39713	6.29435	15.9763	0.968376	0.277173	534.165	2452.84	0.0349088	6.19235	11.937	0.846377	37.0327	33.0156	124451	1809.34	0.708597	0.0400333	0.0400333	239.008	202.29	90.1383	41.4006	42.3711	42.8846	1033.46	116.624	40.6029	1033.46	110.316	41.0791	178.66	34.1783	2.58915	0	2.58915	0	8.69697	-4.58222	0	0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
8.08889	78467.8	72.973	77.461	5090.25	34138	104.626	87.475	106.29	63.9357	5652.56	738.158	5.46258	6.31028	15.9763	0.968344	0.274346	534.165	2377.94	0.0349088	6.19235	11.2148	0.840876	37.0329	33.0157	199041	1758.32	1.02424	0.0400333	0.0400333	232.288	195.326	89.0055	40.4544	42.32	42.8856	1033.27	115.142	41.4201	1033.27	108.768	41.789	175	37.3005	2.58917	0	2.58917	0	5.41647	-1.27777	0	0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
9.1	78467.8	72.973	77.5067	5090.21	34138	87.3209	87.7341	106.676	64.0518	5655.9	738.158	5.47789	6.3021	16.1194	0.968033	0.274154	544.417	2749.69	0.0351097	6.36673	14.902	0.836766	37.033	33.0157	193296	1022.75	1.1595	0.0400333	0.0400333	227.511	190.373	90.486	40.3617	42.3477	42.7984	1032.6	116.845	39.8825	1032.6	110.546	40.4054	216.862	0.41996	2.58896	0	2.58896	0	4.32573	3.12227	0	0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
